id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,number_of_reviews_ltm,recency,revenue_at_least,empty_listing,price_category
21065013,"The Muse Haus in Asoke ( Sleep 4,walk to BTS/MRT)",49539775,Max,Khlong Toei,13.72556,100.56302,Entire home/apt,2857,2,329,2022-12-16,5.19,36,62,13,1879906,0,First Class
6616352,Upmarket Loft Apartment in the Lively Heart of Bangkok,29821030,Diow,Khlong Toei,13.73502,100.56252,Entire home/apt,4056,1,323,2022-12-18,3.75,5,42,11,1310088,0,First Class
15241184,Renovated Private 4 BR Townhouse @ BTS ONNUT,24147370,Anupong,Khlong Toei,13.70872,100.5947,Entire home/apt,4500,2,243,2022-12-24,3.34,5,47,5,2187000,0,Suite Class
17162757,"Luxury 2 BR/2 Bath,3 Mins BTS NANA,GYM,POOL,WIFI",19146113,Pree,Khlong Toei,13.73789,100.55586,Entire home/apt,2800,2,227,2022-01-16,3.26,1,1,347,1271200,0,First Class
17561011,2BR/wifi/1 min to BTS On nut/提供中文服务,44411390,Jeff,Khlong Toei,13.70396,100.59967,Entire home/apt,1800,1,218,2020-03-04,3.2,1,0,1030,392400,0,Business Class
2542746,Spacious 1BR with Spectacular View,13020066,Ome,Khlong Toei,13.72635,100.57211,Entire home/apt,2123,3,210,2022-12-14,1.98,3,18,15,1337490,0,First Class
7537716,"*New* Eden Park Bangkok near SkyTrain, Wi-Fi, Pool",19266319,Alex,Khlong Toei,13.71197,100.59503,Entire home/apt,1100,28,206,2022-10-27,2.37,36,5,63,6344800,0,Standard Class
23459665,Luxury Condo in Heart of Bangkok 中文服務 01,35112478,Ping,Khlong Toei,13.72668,100.56669,Entire home/apt,2807,1,203,2022-12-16,3.46,12,14,13,569821,0,First Class
8526852,"1Min walk BTS Thong Lo,Sukhumvit34",40262107,Patty,Khlong Toei,13.72483,100.57525,Entire home/apt,1457,30,200,2021-03-12,2.32,39,0,657,8742000,0,Business Class
20899136,❤️20%Off Bangkok City Remarkable Choice nr BTS WiFi,19266319,Alex,Khlong Toei,13.71377,100.59177,Entire home/apt,1499,28,193,2022-12-04,3.01,36,9,25,8100596,0,Business Class
23462808,Luxury Condo in Bangkok City Center 曼谷市中心网红公寓中文服務,35112478,Ping,Khlong Toei,13.72408,100.56809,Entire home/apt,2214,1,190,2022-12-11,3.24,12,16,18,420660,0,First Class
390611,Sukhumvit apartment near Nana BTS,807406,Hollis,Khlong Toei,13.74052,100.55237,Entire home/apt,797,1,189,2022-11-28,1.45,1,13,31,150633,0,Standard Class
15716640,"24. SUKHUMVIT 24, BTS Phromphong EMPORIUM, WiFi",47324488,Tony,Khlong Toei,13.72705,100.56686,Entire home/apt,1147,1,188,2022-10-15,2.51,34,32,75,215636,0,Standard Class
18602390,Infinity Pool 41fl Lux Sukhumvit 24 Bts PhromPhong,61399771,Pimnara,Khlong Toei,13.722739,100.566139,Entire home/apt,1439,19,187,2022-11-14,3.08,1,8,45,5112767,0,Business Class
9534223,1MinWalkBTS ThongLo/Topfloor pool,40262107,Patty,Khlong Toei,13.72415,100.5756,Entire home/apt,1457,2,183,2022-12-04,2.12,39,15,25,533262,0,Business Class
23817170,Luxury Condo in heart Bangkok city center曼谷奢華高樓4,35112478,Ping,Khlong Toei,13.72589,100.56672,Entire home/apt,2371,1,181,2022-12-12,3.12,12,16,17,429151,0,First Class
15696795,"21. SUKHUMVIT 24, BTS Phromphong EMPORIUM, WiFi",47324488,Tony,Khlong Toei,13.72465,100.56757,Entire home/apt,1166,1,175,2022-12-12,2.34,34,21,17,204050,0,Standard Class
16667060,4ppAsok/Sukhumvit BTS100mTerminal21,40262107,Patty,Khlong Toei,13.73586,100.56194,Entire home/apt,1400,1,173,2022-10-19,2.45,39,18,71,242200,0,Business Class
6305340,Charming 2 BDR near Emporium w view,13020066,Ome,Khlong Toei,13.72585,100.57189,Entire home/apt,2400,3,172,2022-12-07,1.86,3,10,22,1238400,0,First Class
4786588,"Charming 2BR/2BA, 5mins walk to BTS",24675031,Malisa,Khlong Toei,13.70939,100.59791,Entire home/apt,1529,21,171,2022-11-22,1.76,1,6,37,5490639,0,Business Class
15714335,"23. SUKHUMVIT 24, BTS Phromphong EMPORIUM, WiFi",47324488,Tony,Khlong Toei,13.72532,100.56848,Entire home/apt,1277,1,170,2022-11-01,2.27,34,24,58,217090,0,Standard Class
14752472,"(A)5pp, 7-11, Thonglo,Sukhumvit,BTS",40262107,Patty,Khlong Toei,13.72533,100.57656,Entire home/apt,850,90,169,2021-01-23,2.23,39,0,705,12928500,0,Standard Class
23478265,Luxury Condo at Bangkok city center 曼谷奢华公寓中文服務,35112478,Ping,Khlong Toei,13.72692,100.56694,Entire home/apt,2756,1,163,2022-08-19,2.78,12,1,132,449228,0,First Class
32247620,1/ Luxury living sky pool 5mins walk BTS Asok Nana,234983307,Luke,Khlong Toei,13.73454,100.55691,Entire home/apt,2047,2,162,2022-12-13,3.44,9,61,16,663228,0,First Class
15724739,"22. SUKHUMVIT 24, BTS Phromphong EMPORIUM, WiFi",47324488,Tony,Khlong Toei,13.72737,100.56811,Entire home/apt,1166,1,159,2022-12-05,2.12,34,19,24,185394,0,Standard Class
11629406,"Thong Lo BTS City Center - Foodie, Hip & Trendy",37959094,Bo,Khlong Toei,13.72262,100.57961,Entire home/apt,1189,2,157,2022-12-12,1.92,1,5,17,373346,0,Standard Class
35307206,Luxury 1BR/Center BKK+CBD/BTS PhromPhong,152018136,Tony,Khlong Toei,13.72644,100.56607,Entire home/apt,1466,1,156,2022-12-26,3.62,12,71,3,228696,0,Business Class
8616187,Charming 1BDR near BTS and Emporium,13020066,Ome,Khlong Toei,13.72572,100.57418,Entire home/apt,1697,3,154,2022-11-29,1.75,3,9,30,784014,0,Business Class
32251879,2/ Luxury living sky pool 5mins walk BTS Asok Nana,234983307,Luke,Khlong Toei,13.73574,100.55875,Entire home/apt,1985,2,153,2022-12-22,3.28,9,49,7,607410,0,First Class
29520933,CuteCocoon4—B&B in the Lively Heart of Bangkok,29821030,Diow,Khlong Toei,13.73474,100.56274,Entire home/apt,3117,1,152,2022-12-22,2.99,5,55,7,473784,0,First Class
15864066,"(B)4pp, 7-11, Sukhumvit,Thonglo BTS",40262107,Patty,Khlong Toei,13.7238,100.57816,Entire home/apt,1300,2,151,2022-12-13,2.05,39,29,16,392600,0,Standard Class
32114122,One Plus Bedroom/2 King Beds/BTS Asok,12464021,Rebecca,Khlong Toei,13.73537,100.55789,Entire home/apt,1200,1,149,2022-12-17,3.17,21,41,12,178800,0,Standard Class
17547593,Big room! closed to Nana BTS special price,112414885,Nattaya,Khlong Toei,13.73812,100.55202,Entire home/apt,1350,1,148,2022-12-10,2.1,7,31,19,199800,0,Business Class
